"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0878081410380048,0.327044025157233,0
"Eligibility",0.054047259929613,0.377358490566038,0
"Recruitment",-0.0892497844208107,0.264150943396226,0
"Setting",0.0370639534883721,0.207547169811321,0
"Organization",0.109952271522008,0.30188679245283,0
"Flex. delivery",0.219224037339557,0.264150943396226,0
"Flex. adherence",0.0817210511117528,0.377358490566038,0
"Follow-up",-0.265215110178384,0.283018867924528,0
"Outcome",0.0501361161524502,0.547169811320755,0
"Analysis",0.0748776508972269,0.320754716981132,0
