"run_folder","tool","total_results_n","results_with_quotes_n","quotes_n","perfect_fulltext_quotes_n","perfect_prompt_quotes_n","median_similarity","p25_similarity","p75_similarity","min_similarity","max_similarity","mean_similarity","sd_similarity","minor_deviations_n","moderate_deviations_n","major_deviations_n"
"gpt3.5_precis2","PRECIS-2",54,54,566,533,0,100,100,100,46.3414634146341,100,99.4959942222823,3.58847335110856,19,11,3
"gpt3.5_precis2_rep","PRECIS-2",53,53,578,551,0,100,100,100,60.3260869565217,100,99.7463500153423,2.06807136042809,17,9,1
"claude2_chat_precis2","PRECIS-2",56,56,584,475,3,100,100,100,51.219512195122,100,98.6797941313798,5.69110638070422,76,17,13
"claude2_chat_precis2_rep","PRECIS-2",56,55,589,478,5,100,100,100,55.1020408163265,100,98.8462823423657,4.85004810882818,75,22,9
"claude2_chat_gpt3.5_prompt_precis2","PRECIS-2",56,56,547,519,1,100,100,100,45.6140350877193,100,99.4327216537563,3.8193069599104,11,13,3
"claude2_precis2","PRECIS-2",56,56,479,355,56,100,100,100,63.75,100,99.3680235276214,3.17324227432678,52,12,4
"claude2_precis2_rep","PRECIS-2",56,56,468,354,50,100,100,100,63.75,100,99.4278938107259,2.93897575935793,51,10,3
"gpt4_precis2","PRECIS-2",56,56,562,480,1,100,100,100,56.6037735849057,100,99.0693426778231,4.12836865348844,53,22,6
"gpt4_precis2_rep","PRECIS-2",14,14,149,129,2,100,100,100,56.6037735849057,100,99.1573626245638,4.25621392142854,11,6,1
"mixtral8x7b_precis2","PRECIS-2",50,50,695,511,37,100,100,100,23.5294117647059,100,98.1136485228869,7.71938897685476,99,28,20
"mixtral8x7b_precis2_rep","PRECIS-2",51,51,747,525,37,100,100,100,23.5294117647059,100,96.9105113467488,10.4538561046293,109,38,38
"mixtral8x7b_gpt4_prompt_precis2","PRECIS-2",22,21,416,31,321,100,100,100,47.0588235294118,100,98.9779858334607,5.76990411216569,52,5,7
"claude3_opus_precis2","PRECIS-2",56,56,533,306,0,100,98.1707317073171,100,26.4705882352941,100,95.2386933079786,12.4656941684384,139,49,39
"claude3_opus_precis2_rep","PRECIS-2",56,56,542,327,0,100,98.8455916550395,100,22.2972972972973,100,95.9371075519161,11.1073024272135,134,47,34
"claude3_opus_gpt4_prompt_precis2","PRECIS-2",56,56,646,369,18,100,97.7272727272727,100,31.0810810810811,100,95.4536653547642,11.2317556293424,142,75,42
"mixtral8x22b_precis2","PRECIS-2",56,56,564,463,0,100,100,100,24.6575342465753,100,98.5379219866396,7.13532901311641,74,14,13
"mixtral8x22b_precis2_rep","PRECIS-2",56,56,540,434,0,100,100,100,24.6575342465753,100,98.1291457389518,8.19077020060921,76,14,16
