"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.141020758781275,0.35207100591716,0.304526748971193
"Eligibility",0.096938775510204,0.375,0.111111111111111
"Recruitment",-0.102660172349195,0.275,0.259259259259259
"Setting",0.0482758620689654,0.2,0.259259259259259
"Organization",0.0765472312703583,0.323529411764706,0.37037037037037
"Flex. delivery",0.238495794161306,0.228571428571429,0.351851851851852
"Flex. adherence",0.174044032444959,0.470588235294118,0.37037037037037
"Follow-up",0.0196270853778214,0.354838709677419,0.425925925925926
"Outcome",0.0316269970655365,0.595238095238095,0.222222222222222
"Analysis",0.112676056338028,0.323529411764706,0.37037037037037
