"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0494916015954159,0.448412698412698,0
"Eligibility",-0.0736842105263158,0.410714285714286,0
"Recruitment",0.266666666666667,0.464285714285714,0
"Setting",0.106382978723404,0.571428571428571,0
"Organization",-0.0439970171513797,0.357142857142857,0
"Flex. delivery",0.133769063180828,0.267857142857143,0
"Flex. adherence",-0.0544871794871795,0.428571428571429,0
"Follow-up",0.0364145658263306,0.428571428571429,0
"Outcome",-0.112262521588947,0.642857142857143,0
"Analysis",0.112676056338028,0.464285714285714,0
