"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.122105448051758,0.535714285714286,0
"Eligibility",0.0126582278481013,0.517857142857143,0
"Recruitment",0.231638418079096,0.5,0
"Setting",0.0402384500745154,0.607142857142857,0
"Organization",-0.0142517814726841,0.446428571428571,0
"Flex. delivery",0.229686500319898,0.5,0
"Flex. adherence",0.148648648648649,0.517857142857143,0
"Follow-up",0.145820622330689,0.482142857142857,0
"Outcome",0.0309653916211292,0.714285714285714,0
"Analysis",0.293913043478261,0.535714285714286,0
