"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.682226518080509,0.856115107913669,0.713991769547325
"Eligibility",0.578125,0.875,0.703703703703704
"Recruitment",0.448979591836735,0.692307692307692,0.759259259259259
"Setting",0.557377049180328,0.909090909090909,0.796296296296296
"Organization",0.76,0.933333333333333,0.722222222222222
"Flex. delivery",0.894736842105263,0.888888888888889,0.833333333333333
"Flex. adherence",0.905923344947735,0.941176470588235,0.685185185185185
"Follow-up",-0.0836120401337794,0.823529411764706,0.685185185185185
"Outcome",0.845714285714286,0.96,0.537037037037037
"Analysis",0.5,0.625,0.703703703703704
