"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.201061002674085,0.361111111111111,0
"Eligibility",-0.0455927051671734,0.357142857142857,0
"Recruitment",0.295641344956413,0.357142857142857,0
"Setting",0.097339593114241,0.25,0
"Organization",0.0102325581395348,0.285714285714286,0
"Flex. delivery",0.219405114696521,0.321428571428571,0
"Flex. adherence",0.278023158648681,0.428571428571429,0
"Follow-up",0.196911196911197,0.375,0
"Outcome",-0.0132391879964695,0.553571428571429,0
"Analysis",0.179639975170701,0.321428571428571,0
