"run_folder","tool","total_results_n","results_with_quotes_n","quotes_n","perfect_fulltext_quotes_n","perfect_prompt_quotes_n","median_similarity","p25_similarity","p75_similarity","min_similarity","max_similarity","mean_similarity","sd_similarity","minor_deviations_n","moderate_deviations_n","major_deviations_n"
"claude2_chat_gpt3.5_prompt_amstar","AMSTAR",112,108,640,369,166,100,100,100,28.3018867924528,100,96.5723103989506,11.122168714628,36,29,40
"claude2_chat_gpt3.5_prompt_prisma","PRISMA",112,105,1552,831,605,100,100,100,26.5625,100,99.0809631769088,5.41243175521857,54,42,20
"claude2_chat_prisma_amstar","AMSTAR",112,105,442,308,65,100,100,100,41.5094339622642,100,96.9230807108139,10.4263013543853,26,20,23
"claude2_chat_prisma_amstar","PRISMA",112,85,357,215,65,100,100,100,18.0327868852459,100,94.4794715184404,14.9677945283026,22,18,37
"claude2_chat_prisma_amstar_rep","AMSTAR",112,108,461,291,81,100,100,100,29.6610169491525,100,95.4631893367295,13.4630543758085,30,22,37
"claude2_chat_prisma_amstar_rep","PRISMA",112,84,403,243,42,100,96.7501014747666,100,22.7272727272727,100,92.1331429860338,16.5117840838044,24,34,60
"claude2_prisma_amstar","AMSTAR",112,110,480,326,64,100,100,100,34.2105263157895,100,97.3908189333027,9.38731446640019,50,17,23
"claude2_prisma_amstar","PRISMA",112,79,557,359,51,100,99.6655518394649,100,30,100,95.0786302390744,12.9035619035578,69,22,56
"claude2_prisma_amstar_rep","AMSTAR",112,110,488,344,61,100,100,100,34.2105263157895,100,97.5041825941776,9.38796103610916,47,12,24
"claude2_prisma_amstar_rep","PRISMA",112,86,529,327,54,100,99.5283018867924,100,30.3571428571429,100,95.0132109363092,13.1578494809753,75,23,50
"gpt3.5_amstar","AMSTAR",112,112,847,809,7,100,100,100,28.3018867924528,100,99.0541315067172,6.55755904122148,10,6,15
"gpt3.5_amstar_rep","AMSTAR",112,112,829,797,4,100,100,100,30,100,99.2222187225527,5.84727660786961,11,4,13
"gpt3.5_prisma","PRISMA",109,107,951,853,37,100,100,100,53.7037037037037,100,99.4095735142622,3.80303261248566,38,15,8
"gpt3.5_prisma_rep","PRISMA",109,108,971,872,40,100,100,100,55.2173913043478,100,99.461808402257,3.42215723913479,34,19,6
"gpt4_prisma_amstar","AMSTAR",109,109,780,700,1,100,100,100,56.2091503267974,100,99.3027359107527,4.15730996180517,63,8,8
"gpt4_prisma_amstar","PRISMA",109,109,1829,1548,3,100,100,100,37.2093023255814,100,99.2461628133867,4.32179540127575,226,33,19
"gpt4_prisma_amstar_rep","AMSTAR",28,28,203,184,1,100,100,100,61.2970711297071,100,99.3730538904999,4.11895994129075,15,1,2
"gpt4_prisma_amstar_rep","PRISMA",28,28,482,419,0,100,100,100,61.2970711297071,100,99.4090109792339,3.6127747103149,53,6,4
